Mois,CA,Coûts des produits vendus,Marge brute,CACHETS,CASH POWER,MARKETING_ADMIN,RH,Autres,OPEX,Resultat d'exploitation,Resultat avant Impôts,Resultat net comptable,Tresorerie net d'exploitation,Travaux et equipements,Tresorerie net d'investissement,Resultat net,Working Capital,Trésorerie Fin de Mois,CONSOMMABLES,DRINKS,EATS,SMOKE,Taux marge brute
2023-04,3527300.0,2973450.0,553850.0,20000.0,0.0,145100.0,549500.0,90400.0,846600.0,-292750.0,-292750.0,-292750.0,-292750.0,-114000.0,-114000.0,-406750.0,3344550.0,3344550.0,41600.0,2281460.0,525790.0,166200.0,0.15701811583931052
2023-05,12225050.0,6179050.0,6046000.0,335000.0,470000.0,227700.0,1399000.0,606022.26,3218972.26,2827027.74,2827027.74,2827027.74,2827027.74,-3087027.39623,-3087027.39623,-259999.65622999985,11090049.656229999,11090049.656229999,181250.0,3489000.0,2368050.0,322000.0,0.4945583044650124
2023-06,20471000.0,8370550.0,12100450.0,480000.0,550000.0,48300.0,1736000.0,560100.0,3575300.0,8525150.0,8525150.0,8525150.0,8525150.0,-1972000.0,-1972000.0,6553150.0,12181850.0,12181850.0,200900.0,5414050.0,2538900.0,417600.0,0.5911020467979092
2023-07,28821750.0,15470625.0,13351125.0,630000.0,500000.0,177600.0,1809500.0,409125.0,3794825.0,9556300.0,9556300.0,9556300.0,9556300.0,-1159300.0,-1159300.0,8397000.0,18715250.0,18715250.0,268600.0,11641050.0,3047575.0,782000.0,0.46323089333576206
